budget,original_title,Novel Adaptation,popularity,release_date,revenue,runtime,title,vote_average,vote_count
185000000,The Dark Knight,Yes,187.322927,2008,1004558444,152,The Dark Knight,8.2,12002
175000000,Inside Out,No,128.655964,2015,857611174,94,Inside Out,8,6560
165000000,Interstellar,No,724.247784,2014,675120017,169,Interstellar,8.1,10867
160000000,Inception,No,167.58371,2010,825532764,148,Inception,8.1,13752
93000000,The Lord of the Rings: The Fellowship of the Ring,Yes,138.049577,2001,871368364,178,The Lord of the Rings: The Fellowship of the Ring,8,8705
94000000,The Lord of the Rings: The Return of the King,Yes,123.630332,2003,1118888979,201,The Lord of the Rings: The Return of the King,8.1,8064
79000000,The Lord of the Rings: The Two Towers,Yes,106.914973,2002,926287400,179,The Lord of the Rings: The Two Towers,8,7487
45000000,The Lion King,No,90.457886,1994,788241776,89,The Lion King,8,5376
63000000,Fight Club,Yes,146.757391,1999,100853753,139,Fight Club,8.3,9413
60000000,The Green Mile,Yes,103.698022,1999,284600000,189,The Green Mile,8.2,4048
55000000,Forrest Gump,Yes,138.133331,1994,677945399,142,Forrest Gump,8.2,7927
40000000,The Prestige,Yes,74.440708,2006,109676311,130,The Prestige,8,4391
35000000,The Pianist,Yes,50.587541,2002,120072577,150,The Pianist,8,1864
31500000,Apocalypse Now,Yes,49.973462,1979,89460381,153,Apocalypse Now,8,2055
30000000,The Grand Budapest Hotel,Yes,74.417456,2014,174600318,99,The Grand Budapest Hotel,8,4519
33000000,Se7en,No,79.579532,1995,327311859,127,Se7en,8.1,5765
30000000,Once Upon a Time in America,Yes,49.336397,1984,0,229,Once Upon a Time in America,8.2,1069
22000000,Schindler's List,Yes,104.469351,1993,321365567,195,Schindler's List,8.3,4329
25000000,GoodFellas,Yes,63.654244,1990,46836394,145,GoodFellas,8.2,3128
25000000,Scarface,Yes,70.105981,1983,65884703,170,Scarface,8,2948
25000000,The Shawshank Redemption,Yes,136.747729,1994,28341469,142,The Shawshank Redemption,8.5,8205
18000000,The Empire Strikes Back,No,78.51783,1980,538400000,124,The Empire Strikes Back,8.2,5879
19000000,The Silence of the Lambs,Yes,18.174804,1991,272742922,119,The Silence of the Lambs,8.1,4443
806948,Psycho,Yes,93.067866,1960,32000000,109,Psycho,8.2,2320
19000000,The Shining,Yes,78.699993,1980,44017374,144,The Shining,8.1,3757
19000000,Back to the Future,No,76.603233,1985,381109762,116,Back to the Future,8,6079
16400000,Dead Poets Society,No,55.458584,1989,235860116,129,Dead Poets Society,8.1,2705
14000000,The Imitation Game,Yes,145.364591,2014,233555708,113,The Imitation Game,8,5723
13000000,The Godfather: Part II,Yes,105.792936,1974,47542841,200,The Godfather: Part II,8.3,3338
6000000,Room,Yes,66.11334,2015,35401758,117,Room,8.1,2757
11000000,Star Wars,No,126.393695,1977,775398007,121,Star Wars,8.1,6624
20000000,American History X,No,73.567232,1998,23875127,119,American History X,8.2,3016
8000000,Pulp Fiction,No,121.463076,1994,213928762,154,Pulp Fiction,8.3,8428
6000000,The Godfather,Yes,143.659698,1972,245066411,175,The Godfather,8.4,5893
6000000,The Usual Suspects,No,64.025031,1995,23341568,106,The Usual Suspects,8.1,3254
9000000,Memento,No,60.715151,2000,39723096,113,Memento,8.1,4028
3000000,One Flew Over the Cuckoo's Nest,Yes,127.525581,1975,108981275,133,One Flew Over the Cuckoo's Nest,8.2,2919
3300000,Whiplash,No,192.528841,2014,13092000,105,Whiplash,8.3,4254
3180000,It's a Wonderful Life,Yes,42.868495,1946,9644124,130,It's a Wonderful Life,8,1076
1800000,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Yes,41.996783,1964,9440272,95,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,1442
1200000,Reservoir Dogs,No,66.925866,1992,14661007,99,Reservoir Dogs,8,3697
1300000,Taxi Driver,Taxi Driver,58.845025,1976,28262574,114,Taxi Driver,8,2535
350000,12 Angry Men,12 Angry Men,59.259204,1957,1000000,96,12 Angry Men,8.2,2078
